asset_id,iso3_country,emissions_quantity,asset_name,asset_type,start_time,end_time
5110626,USA,32976547.05,Western Gulf,Oil,2021-01-01 00:00:00,2021-12-31 00:00:00
5110527,AZE,32879498.03,Shah Deniz,Gas,2021-01-01 00:00:00,2021-12-31 00:00:00
1669940,KOR,32306000,Taean power station,"coal, other_fossil, oil",2021-01-01 00:00:00,2021-12-31 00:00:00
5093218,IND,32275216.08,RPL (Reliance Petroleum Limited) Jamnagar Refinery,,2021-01-01 00:00:00,2021-12-31 00:00:00
5110502,SAU,31924693.17,Safaniyah,Oil,2021-01-01 00:00:00,2021-12-31 00:00:00
5110594,BRA,31652185.68,Tupi,Oil,2021-01-01 00:00:00,2021-12-31 00:00:00
1669945,CHN,31609000,Datang Tuoketuo power station,coal,2021-01-01 00:00:00,2021-12-31 00:00:00
1669947,RUS,31590000,Surgut GRES-2 power station,gas,2021-01-01 00:00:00,2021-12-31 00:00:00
1669942,KOR,31020000,Dangjin power station,coal,2021-01-01 00:00:00,2021-12-31 00:00:00
5110656,IRQ,30743237.14,Zubair,Oil,2021-01-01 00:00:00,2021-12-31 00:00:00
5110206,USA,30091862.52,Eagle Ford - black oil,Oil,2021-01-01 00:00:00,2021-12-31 00:00:00
5110582,DZA,30016855.13,Tin Fouye,Gas,2021-01-01 00:00:00,2021-12-31 00:00:00
5110487,QAT,29695884.42,Rasgas,Gas,2021-01-01 00:00:00,2021-12-31 00:00:00
5110601,ARE,29689313.7,Umm Shaif,Oil,2021-01-01 00:00:00,2021-12-31 00:00:00
5110459,USA,29611895.29,Permian NM,Oil,2021-01-01 00:00:00,2021-12-31 00:00:00
5110316,KAZ,28938192.58,Karachaganak,Oil,2021-01-01 00:00:00,2021-12-31 00:00:00
5110571,RUS,28367280.49,Tarkosalin-Termokarstovoye,Gas,2021-01-01 00:00:00,2021-12-31 00:00:00
5110107,USA,27856017.04,Bakken-US,Oil,2021-01-01 00:00:00,2021-12-31 00:00:00
5110090,USA,27656270.09,Arkoma,Gas,2021-01-01 00:00:00,2021-12-31 00:00:00
5110195,USA,27637653.51,Denver Julesburg,Oil,2021-01-01 00:00:00,2021-12-31 00:00:00
5110594,BRA,27270389.32,Tupi,Oil,2021-01-01 00:00:00,2021-12-31 00:00:00
5110095,RUS,27204820.35,Astrakhanskoye,Gas,2021-01-01 00:00:00,2021-12-31 00:00:00
5110644,RUS,27197191.06,Yurkharovskoye,Gas,2021-01-01 00:00:00,2021-12-31 00:00:00
5110640,RUS,27003200.34,Yaro-Yakhinskoye,Gas,2021-01-01 00:00:00,2021-12-31 00:00:00
5110655,EGY,26987844.3,Zohr,Gas,2021-01-01 00:00:00,2021-12-31 00:00:00
5110549,CAN,26968246.25,Spirit River,Gas,2021-01-01 00:00:00,2021-12-31 00:00:00
5110407,CAN,26788094.71,Montney BC,Gas,2021-01-01 00:00:00,2021-12-31 00:00:00
5110528,SAU,26569957.4,Shaybah,Oil,2021-01-01 00:00:00,2021-12-31 00:00:00
5110511,RUS,26564775.31,Samotlor,Oil,2021-01-01 00:00:00,2021-12-31 00:00:00
5110476,RUS,26302283.24,Priobskoye,Oil,2021-01-01 00:00:00,2021-12-31 00:00:00
5110406,CAN,26108335.13,Montney AB,Gas,2021-01-01 00:00:00,2021-12-31 00:00:00
1669946,TWN,25987000,Mailiao power station,coal,2021-01-01 00:00:00,2021-12-31 00:00:00
1669943,POL,25539000,Belchatow power station,coal,2021-01-01 00:00:00,2021-12-31 00:00:00
1669950,CHN,25354000,Changshu-2 power station,coal,2021-01-01 00:00:00,2021-12-31 00:00:00
5110599,USA,25254630.48,Uinta,Gas,2021-01-01 00:00:00,2021-12-31 00:00:00
5110081,TKM,25019063.67,Amudarya Basin,Gas,2021-01-01 00:00:00,2021-12-31 00:00:00
5110497,IRQ,24973451.17,Rumaila,Oil,2021-01-01 00:00:00,2021-12-31 00:00:00
5110260,KWT,24951356.01,Greater Burgan,Oil,2021-01-01 00:00:00,2021-12-31 00:00:00
5110166,RUS,24823282.59,Chayandinskoye,Gas,2021-01-01 00:00:00,2021-12-31 00:00:00
